Track Name,File Path,Source_URL,duration_ms,item_type,energy_category,Intro_Duration,Punch_Ms,outro_duration,bpm,Bitrate,Lyrics,Year,Art Ratio,Length
Garnet Mimms and the Enchanters - Cry Baby [Cry Baby],Z:/Classics/Garnet Mimms and the Enchanters - Cry Baby [Cry Baby].mp3,,208000,Music,,10000,0,20000,0,320,Unknown,1963,1.0,3:28
Aretha Franklin - Since You’ve Been Gone (Sweet Sweet Baby) (mono single version) [Lady Soul],Z:/Classics/Aretha Franklin - Since You’ve Been Gone (Sweet Sweet Baby) (mono single version) [Lady Soul].mp3,,148000,Music,,10000,0,20000,0,320,Unknown,1995,1.0,2:28
O.V. Wright - Eight Men and Four Women [8 Men and 4 Women],Z:/Classics/O.V. Wright - Eight Men and Four Women [8 Men and 4 Women].mp3,,179000,Music,,10000,0,20000,0,320,Unknown,1967,1.0,2:59
Solomon Burke - I Wish I Knew (How It Would Feel to Be Free) [I Wish I Knew],Z:/Classics/Solomon Burke - I Wish I Knew (How It Would Feel to Be Free) [I Wish I Knew].mp3,,172000,Music,,10000,0,20000,0,320,Unknown,1968,1.0,2:52
"Don Covay & the Goodtimers - Mercy, Mercy [Mercy!]","Z:/Classics/Don Covay & the Goodtimers - Mercy, Mercy [Mercy!].mp3",,146000,Music,,10000,0,20000,0,320,Unknown,1964,1.0,2:26
The Temptations - (I Know) I’m Losing You [With a Lot o’ Soul],Z:/Classics/The Temptations - (I Know) I’m Losing You [With a Lot o’ Soul].mp3,,149000,Music,,10000,0,20000,0,320,Unknown,1967,1.0,2:29
Jackie Ross - Selfish One [Full Bloom],Z:/Classics/Jackie Ross - Selfish One [Full Bloom].mp3,,197000,Music,,10000,0,20000,0,320,Unknown,1964,1.0,3:17
The Temptations - Ain’t Too Proud to Beg [Gettin’ Ready],Z:/Classics/The Temptations - Ain’t Too Proud to Beg [Gettin’ Ready].mp3,,156000,Music,,10000,0,20000,0,320,Unknown,2008,1.0,2:36
The Staple Singers - Why_ (Am I Treated So Bad) [Freedom Highway],Z:/Classics/The Staple Singers - Why_ (Am I Treated So Bad) [Freedom Highway].mp3,,170000,Music,,10000,0,20000,0,320,Unknown,1991,1.0,2:50
Bar‐Kays - Soul Finger [Soul Finger],Z:/Classics/Bar‐Kays - Soul Finger [Soul Finger].mp3,,142000,Music,,10000,0,20000,0,320,Unknown,1967,1.0,2:22
Darrell Banks - Open the Door to Your Heart [101 Northern Soul Anthems],Z:/Classics/Darrell Banks - Open the Door to Your Heart [101 Northern Soul Anthems].mp3,,157000,Music,,10000,0,20000,0,320,Unknown,2009,1.0,2:37
Bobby Moore and the Rhythm Aces - Searching for My Love [Searching for My Love],Z:/Classics/Bobby Moore and the Rhythm Aces - Searching for My Love [Searching for My Love].mp3,,150000,Music,,10000,0,20000,0,320,Unknown,1966,1.0,2:30
The Capitols - Cool Jerk [This Is the 60s],Z:/Classics/The Capitols - Cool Jerk [This Is the 60s].mp3,,166000,Music,,10000,0,20000,0,320,Unknown,2018,1.0,2:46
Al Green - Back Up Train [Back Up Train],Z:/Classics/Al Green - Back Up Train [Back Up Train].mp3,,139000,Music,,10000,0,20000,0,320,Unknown,1967,1.0,2:19
Etta James - Tell Mama [Tell Mama],Z:/Classics/Etta James - Tell Mama [Tell Mama].mp3,,144000,Music,,10000,0,20000,0,320,Unknown,1968,1.0,2:24
Stevie Wonder - A Place in the Sun [Down to Earth],Z:/Classics/Stevie Wonder - A Place in the Sun [Down to Earth].mp3,,173000,Music,,10000,0,20000,0,320,Unknown,1966,1.0,2:53
