Timestamp,Folder,Filename,Measured_LUFS
2026-05-16 16:16:46,New School 2010+,New Edition - I’m Still in Love With You [Home Again].mp3,-70.0
2026-05-16 16:16:48,Throwbacks 90s2000s,Chris Brown - With You [Exclusive_ The Forever Edition].mp3,-70.0
2026-05-16 16:16:51,New School 2010+,August Alsina feat. Nicki Minaj - No Love [No Love (Remix)].mp3,-70.0
2026-05-16 16:16:54,Throwbacks 90s2000s,The Foreign Exchange - I Wanna Know [Leave It All Behind].mp3,-70.0
2026-05-16 16:16:57,Throwbacks 90s2000s,The Foreign Exchange - Take Off the Blues [Leave It All Behind].mp3,-70.0
2026-05-16 16:17:00,Old School 70s80s,Guy - Groove Me [Guy].mp3,-70.0
2026-05-16 16:17:03,Throwbacks 90s2000s,Blackstreet - Before I Let You Go [Blackstreet].mp3,-70.0
2026-05-16 16:17:05,New School 2010+,"Toni Braxton & Babyface - Hurt You [Love, Marriage & Divorce].mp3",-70.0
2026-05-16 16:17:08,Throwbacks 90s2000s,Tamia - Stranger in My House [A Nu Day].mp3,-70.0
2026-05-16 16:17:11,Live,Trey Songz - Neighbors Know My Name [MTV Unplugged].mp3,-70.0
2026-05-16 16:17:14,New School 2010+,Jodeci - Come & Talk to Me (remix) [Bad Boy’s R&B Hits].mp3,-70.0
2026-05-16 16:17:17,Throwbacks 90s2000s,Fugees - Killing Me Softly [The Score].mp3,-70.0
2026-05-16 16:17:23,Old School 70s80s,Whitney Houston - Didn’t We Almost Have It All [Whitney].mp3,-70.0
2026-05-16 16:17:26,Live,Maze Featuring Frankie Beverly - Joy and Pain [Live in Los Angeles].mp3,-70.0
2026-05-16 16:17:29,Throwbacks 90s2000s,Ashanti - Only U [Concrete Rose].mp3,-70.0
2026-05-16 16:17:32,Throwbacks 90s2000s,Rihanna - Take a Bow [Good Girl Gone Bad_ Reloaded].mp3,-70.0
2026-05-16 16:17:37,Throwbacks 90s2000s,Lyfe Jennings - Must Be Nice [Lyfe 268-192].mp3,-70.0
2026-05-16 16:17:40,New School 2010+,Frank Ocean - Forrest Gump [Channel Orange].mp3,-70.0
2026-05-16 16:20:12,New School 2010+,Ari Lennox - BMO [Shea Butter Baby].mp3,-70.0
2026-05-16 16:20:15,New School 2010+,dvsn - Too Deep [SEPT. 5TH].mp3,-70.0
2026-05-16 16:20:18,Throwbacks 90s2000s,Beyoncé - Ego [I Am… Sasha Fierce].mp3,-70.0
2026-05-16 16:20:21,New School 2010+,Toni Braxton - Let It Flow [Secrets].mp3,-70.0
2026-05-16 16:20:24,Throwbacks 90s2000s,D’Angelo - Lady [Brown Sugar].mp3,-70.0
2026-05-16 16:20:26,Classics,The Staple Singers - Why_ (Am I Treated So Bad) [Freedom Highway].mp3,-70.0
2026-05-16 16:20:29,Throwbacks 90s2000s,Tamia & Fabolous - Into You [More].mp3,-70.0
2026-05-16 16:20:32,Throwbacks 90s2000s,Mario Vazquez - Gallery [Mario Vazquez].mp3,-70.0
2026-05-16 16:20:35,Throwbacks 90s2000s,Usher - U Don't Have to Call [8701].mp3,-70.0
2026-05-16 16:20:38,New School 2010+,Beyoncé - Formation [Lemonade].mp3,-70.0
2026-05-16 16:20:41,Throwbacks 90s2000s,T‐Pain feat. Yung Joc - Buy U a Drank (Shawty Snappin’) [Epiphany].mp3,-70.0
2026-05-16 16:20:43,Throwbacks 90s2000s,Brandy - Almost Doesn’t Count [The Best of Brandy].mp3,-70.0
2026-05-16 16:20:46,Throwbacks 90s2000s,Nelly Furtado - Say It Right [Loose].mp3,-70.0
2026-05-16 16:20:49,Old School 70s80s,Keni Burke - Risin' to the Top [Changes].mp3,-70.0
2026-05-16 16:20:52,Throwbacks 90s2000s,Montell Jordan - Falling [More ...].mp3,-70.0
2026-05-16 16:20:55,Throwbacks 90s2000s,Usher - There Goes My Baby [Raymond v Raymond].mp3,-70.0
2026-05-16 16:20:58,Throwbacks 90s2000s,Lloyd feat. Lil Wayne - Girls Around the World [Lessons in Love].mp3,-70.0
2026-05-16 16:21:01,Old School 70s80s,Sister Sledge - My Guy [The Best of Sister Sledge (1973-1985)].mp3,-70.0
2026-05-16 16:21:04,Throwbacks 90s2000s,Lloyd - Incredible [Street Love].mp3,-70.0
2026-05-16 16:21:07,Throwbacks 90s2000s,TLC - Creep [20].mp3,-70.0
2026-05-16 16:24:10,Throwbacks 90s2000s,Jaheim feat. Next - Anything [Ghetto Love].mp3,-12.6
2026-05-16 16:24:13,New School 2010+,Rihanna feat. Drake - Work [ANTI].mp3,-13.6
2026-05-16 16:24:16,Throwbacks 90s2000s,Mary J. Blige - Real Love [Reflections_ A Retrospective].mp3,-13.5
2026-05-16 16:24:18,Throwbacks 90s2000s,Mary J. Blige - Family Affair [No More Drama].mp3,-13.8
2026-05-16 16:24:21,Throwbacks 90s2000s,"The‐Dream feat. Fabolous - Shawty Is a 10 [Promo Only_ Mainstream Radio, December 2007].mp3",-13.8
2026-05-16 16:24:24,Throwbacks 90s2000s,Brandy - Full Moon [Full Moon].mp3,-13.2
2026-05-16 16:24:27,Throwbacks 90s2000s,Nelly featuring Justin Timberlake - Work It [Nellyville].mp3,-14.1
2026-05-16 16:24:29,Throwbacks 90s2000s,Monica - U Should’ve Known Better [After the Storm].mp3,-13.3
2026-05-16 16:24:32,Old School 70s80s,Oran “Juice” Jones - The Rain [Juice].mp3,-14.1
2026-05-16 16:24:36,Old School 70s80s,Teena Marie - Portuguese Love [Ultimate Collection].mp3,-15.3
2026-05-16 16:24:39,Throwbacks 90s2000s,Mary J. Blige - Love No Limit [What’s the 411_].mp3,-11.8
2026-05-16 16:24:41,Throwbacks 90s2000s,Chaka Demus & Pliers - Murder She Wrote [Tease Me].mp3,-14.3
2026-05-16 16:24:44,Throwbacks 90s2000s,Chris Brown - Ya Man Ain't Me [Chris Brown (Expanded Edition)].mp3,-13.4
2026-05-16 16:24:46,Old School 70s80s,Luther Vandross - Never Too Much [Never Too Much].mp3,-13.5
2026-05-16 16:24:49,Old School 70s80s,Alicia Keys - If I Ain’t Got You [Unplugged].mp3,-13.8
2026-05-16 16:24:52,New School 2010+,CeeLo Green featuring Philip Bailey - Fool for You [The Lady Killer].mp3,-13.6
2026-05-16 16:24:55,Old School 70s80s,Parliament - Flashlight [Old School].mp3,-13.3
2026-05-16 16:24:57,Throwbacks 90s2000s,Avant - Lie About Us [Icon].mp3,-13.0
2026-05-16 16:25:00,Old School 70s80s,After 7 - Ready or Not [After 7].mp3,-12.9
2026-05-16 16:25:03,Throwbacks 90s2000s,Missy Elliott feat. 702 & Magoo - Beep Me 911 [Respect M.E.].mp3,-11.6
